No,判定,曲名,説明
1,T,蕾（コブクロ）,2017/03/27 - 2007年3月にリリースされたコブクロ14作目のシングル「蕾」。 この曲はヒット曲「桜」を上回る販売枚数を記録し、 オリコン週間シングルチャートで初の1位獲得、 日本レコード大賞を受賞するなどの快挙を果たしました ...
2,T,蕾（コブクロ）,2019/09/07 - 「蕾」の歌詞の意味を読み解く. 『蕾』は亡き母に捧げられた歌.
3,T,蕾（コブクロ）,2019/02/14 - ドラマの主題歌で話題になりましたし、2007年に日本レコード大賞受賞しましたし、たくさんの方がコブクロの曲を聴くきっかけに ... だからこそその悔しくてたまらない無念さの意味も込めて「蕾」と表現したのかなって…
4,T,真夏の果実,"2017/08/14 - サザンオールスターズ「真夏の果実」作詞を手掛ける桑田佳祐の歌詞とPV動画が知りたい！ 14,210 view ... 桑田佳祐作詞の｢真夏の果実｣の歌詞を読み解く ... 【サザンオールスターズ/海】不思議な歌詞の意味を徹底解釈！"
5,T,真夏の果実,サザンオールスターズさんの『真夏の果実』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞 ...
6,T,真夏の果実,2020/06/28 - 心理カウンセラーが解釈！ 歌詞の意味を勝手に考察しましょうというコーナー。 祈念すべき第1回目の今日は、. サザンオールスターズ. 「真夏の果実」。 1990年にリリースされた、サザンオールスターズの名曲中の名曲。
7,T,木綿のハンカチーフ,その手始めとして今日はウルトラスーパー超名曲「木綿のハンカチーフ」について、ちょっとだけ解説してみたい。 1975年の曲でいろいろ ... 女子の答えはもちろん、最後に一つだけのおねだり、涙をふくハンカチちょうだい。いいですね。
8,T,木綿のハンカチーフ,太田裕美さんの『木綿のハンカチーフ』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、 ...
9,T,木綿のハンカチーフ,木綿のハンカチーフ」（もめんのハンカチーフ）は、太田裕美の楽曲で、4枚目のシングル。1975年12月21日に発売された日本のヒット曲で ... 作詞の松本隆は、都会（≒東京）に出た男性と故郷に残された女性との遠距離恋愛を対話形式で歌詞にしたが、こうした男言葉と女言葉が交互に切り替わるという構成は、当時の ...
10,T,366日,この投稿でじっくり意味を噛みしめることができました。 boom. 1993年6月21日、THE BOOMの「島唄（オリジナル・ヴァージョン）」が全国発売となり、. 150万枚以上を売り上げる大ヒット！その年の大晦日の紅白歌合戦に出場、.
11,T,366日,3 最近椎名林檎の曲をよく聞きます 彼女の曲の歌詞についてなのですが、キラーチューンとか聞くとすごく物欲 4 B'zの歌詞について 5 B'zのIt's show timeのPV 6 CMで聞いた曲で、一部歌詞しかわからないのですが・・・(男性アーティスト) 編曲 이민수. ... 長い目で見ている長い目で見ておれ出典:『Wikipedia』 (2011/07/15 03:53 UTC 版)該当件数 : 時がたてばわかる時日が経てばわかる時節が来れば ...
12,T,366日,2018/05/08 - 県歌「信濃の国」の歌詞の意味紹介します. 平成30年に県歌制定50年を迎えた「信濃の国」の歌詞の意味を紹介します。 1番の歌詞 ... 5番の歌詞の意味（PDF：187KB） · 6番の歌詞の意味（PDF：197KB）. ＜トップページへ ...
13,T,セーラー服と機関銃,さよならは別れの 言葉じゃなくて再び逢うまでの 遠い約束夢のいた場所に 未練残しても心寒いだけさこのまま何時間でも抱いていたいけどただこのまま 冷たい頬をあたためたいけど 都会は秒刻みの あわただしさ恋もコンクリートの 篭の中君 ...
14,T,セーラー服と機関銃,"2018/05/04 - 騒動を巻き起こした歌詞の意味を徹底解釈！ 森山直太朗. 25,946 view. 2 ..."
15,T,セーラー服と機関銃,セーラー服と機関銃」（セーラーふくときかんじゅう）は、来生えつこ作詞、来生たかお作曲による楽曲。薬師丸ひろ子のデビュー曲で、薬師丸主演の同名映画主題歌。異名同曲として「夢の途中」（ゆめのとちゅう）が存在する。 薬師丸の ...
16,T,ひまわり娘,伊藤咲子さんの『ひまわり娘』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿歌詞まで、約500000 ...
17,T,ひまわり娘,歌：伊藤咲子. 作詞：阿久悠. 作曲：LEVY SHUKI. 誰のために 咲いたのそれはあなたのためよ白い夏のひざしをあびてこんなに開いたの恋の夢を求めてまわる ひまわりの花そして いつも見つめてくれるあなた 太陽みたい ※涙なんか知らない ...
18,T,ひまわり娘,ひまわり娘. 発売日 : -1年11月30日. 作詞 : 阿久悠. 作曲 : シュキ・レヴィ. ダウンロード. 誰のために咲いたの それはあなたのためよ白い夏の陽ざしをあびてこんなにひらいたの恋の夢を求めて 回るひまわりの花そしていつも見つめてくれる ...
19,T,あの日にかえりたい,松任谷由実(荒井由実)さんの『あの日にかえりたい』歌詞です。 ／ 『うたまっぷ』-歌詞の無料検索表示サイトです。歌詞全文から一部のフレーズを入力して検索できます。最新J-POP曲・TV主題歌・アニメ・演歌などあらゆる曲から自作投稿 ...
20,T,あの日にかえりたい,2018/04/29 - 長年に渡って音楽業界の第一線で活躍を続ける「ユーミン」こと松任谷由実さん。「あの日にかえりたい」は、初期のユーミンが生んだ名バラードです。青春時代や昔の恋人を思う切ない歌詞を、独自の解釈でお伝えしていき ...
21,T,あの日にかえりたい,あの日にかえりたい 歌詞. 歌：松任谷由実. 作詞：荒井由実. 作曲：荒井由実. 泣きながらちぎった写真を手のひらにつなげてみるの悩みなききのうのほほえみわけもなくにくらしいのよ青春の後ろ姿を人はみな忘れてしまうあの頃のわたしに ...
